代码,公司,范围,板块,数据日期,最新价,涨跌幅,合理下限,合理上限,合理估值范围,估值状态,置信度,估值位置,趋势阶段,趋势条件,相对强弱,波动收缩,板块强弱,行动,入场条件,失效条件,原因
000938.SZ,紫光股份,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,37.39,-0.006377889981397877,30.0,42.0,30.0–42.0,低置信度研究区间,较低,合理区间,第二阶段候选,7,57.14285714285714,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
301269.SZ,华大九天,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,97.96,0.05186298722216254,95.0,135.0,95.0–135,低置信度研究区间,较低,合理区间,弱势阶段,0,31.428571428571427,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
603019.SH,中科曙光,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,86.35,0.0012755102040815647,70.0,95.0,70.0–95.0,低置信度研究区间,较低,合理区间,弱势阶段,0,50.71428571428571,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688498.SH,源杰科技,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,1351.0,-0.04529715214472474,761.492466,1015.323288,761–1015,已审计估值区间,中等,明显偏高,第二阶段候选,6,100.0,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
603986.SH,兆易创新,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,402.29,-0.0018360916060837784,272.41779,408.626685,272–409,已审计估值区间,中等,合理区间,第二阶段候选,6,88.57142857142857,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
000988.SZ,华工科技,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,103.8,0.0011574074074072183,74.44254,111.66381,74.4–112,已审计估值区间,中等,合理区间,整理过渡,4,63.57142857142857,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002281.SZ,光迅科技,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,184.07,0.032361189007291014,83.556925,125.335387,83.6–125,已审计估值区间,中等,明显偏高,第二阶段候选,6,90.0,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
600406.SH,国电南瑞,人工智能硬件,液冷 / 电源 / 人工智能电力系统,2026-08-11,23.99,-0.006213753106876663,22.044867,30.61787,22.0–30.6,已审计估值区间,中等,合理区间,整理过渡,4,44.285714285714285,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002475.SZ,立讯精密,人工智能硬件,高速铜缆 / 连接器,2026-08-11,55.63,-0.0028678974726652484,69.782583,104.673875,69.8–105,已审计估值区间,中等,明显低估,弱势阶段,3,56.42857142857143,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002837.SZ,英维克,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,54.68,-0.010137581462708267,54.881544,82.322316,54.9–82.3,已审计估值区间,中等,合理偏低,弱势阶段,2,69.28571428571428,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300476.SZ,胜宏科技,人工智能硬件,人工智能服务器印制电路板 / 覆铜板,2026-08-11,274.53,-0.04010489510489523,435.338716,653.008074,435–653,已审计估值区间,中等,明显低估,弱势阶段,2,57.85714285714286,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
09660.HK,地平线机器人,人工智能硬件,人工智能芯片 / 专用芯片 / 端侧算力,2026-08-11,5.1,0.0009813542688910104,6.0,10.0,6.00–10.0,低置信度研究区间,较低,合理偏低,弱势阶段,2,16.428571428571427,候选,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
603893.SH,瑞芯微,人工智能硬件,人工智能芯片 / 专用芯片 / 端侧算力,2026-08-11,213.36,0.039259620068192946,127.627898,191.441847,128–191,已审计估值区间,中等,偏高观察,第二阶段候选,6,52.85714285714286,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
688521.SH,芯原股份,人工智能硬件,人工智能芯片 / 专用芯片 / 端侧算力,2026-08-11,211.51,-0.005828437132785025,130.0,190.0,130–190,低置信度研究区间,较低,偏高观察,整理过渡,5,77.85714285714286,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
002409.SZ,雅克科技,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,150.29,-0.03188611182684886,89.987244,128.553205,90.0–129,已审计估值区间,中等,明显偏高,第二阶段候选,6,82.85714285714286,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
688082.SH,盛美上海,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,311.95,-0.03427032381895856,181.221436,273.845725,181–274,已审计估值区间,中等,偏高观察,第二阶段候选,6,80.0,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
002028.SZ,思源电气,人工智能硬件,液冷 / 电源 / 人工智能电力系统,2026-08-11,162.92,-0.015113045580945506,193.34178,290.01267,193–290,已审计估值区间,中等,明显低估,整理过渡,3,62.142857142857146,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300548.SZ,长芯博创,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,173.91,0.016126205083260237,93.562256,136.090555,93.6–136,低置信度研究区间,较低,明显偏高,整理过渡,4,64.28571428571429,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
600522.SH,中天科技,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,32.34,-0.01761846901579578,32.869348,49.304022,32.9–49.3,已审计估值区间,中等,合理偏低,整理过渡,5,75.0,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688019.SH,安集科技,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,246.0,-0.027975343764817473,231.640438,347.460658,232–347,已审计估值区间,中等,合理区间,整理过渡,5,65.71428571428571,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688629.SH,华丰科技,人工智能硬件,高速铜缆 / 连接器,2026-08-11,147.78,-0.010180843938379147,84.08527,128.601001,84.1–129,已审计估值区间,中等,偏高观察,第二阶段候选,6,80.71428571428572,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
001389.SZ,广合科技,人工智能硬件,人工智能服务器印制电路板 / 覆铜板,2026-08-11,164.6,-0.021635758440323394,143.528182,209.311932,144–209,已审计估值区间,中等,合理区间,第二阶段候选,6,78.57142857142857,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
600487.SH,亨通光电,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,57.62,-0.03354579000335456,57.912452,83.65132,57.9–83.7,已审计估值区间,中等,合理偏低,整理过渡,5,91.42857142857143,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002049.SZ,紫光国微,人工智能硬件,人工智能芯片 / 专用芯片 / 端侧算力,2026-08-11,67.3,-0.010294117647058898,84.139616,126.209425,84.1–126,已审计估值区间,中等,明显低估,弱势阶段,0,40.714285714285715,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688072.SH,拓荆科技,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,700.0,-0.038461538461538436,321.416347,443.86067,321–444,已审计估值区间,中等,明显偏高,第二阶段候选,7,94.28571428571428,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
688120.SH,华海清科,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,268.33,0.018214245057488698,206.067699,311.391189,206–311,已审计估值区间,中等,合理区间,第二阶段候选,7,87.14285714285714,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
603501.SH,豪威集团,人工智能硬件,物理人工智能核心硬件,2026-08-11,93.26,0.04621943010993945,112.511927,168.76789,113–169,已审计估值区间,中等,明显低估,弱势阶段,0,17.857142857142858,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
603083.SH,剑桥科技,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,152.35,0.029948620876149246,105.982778,154.156768,106–154,低置信度研究区间,较低,合理区间,第二阶段候选,6,86.42857142857143,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
002156.SZ,通富微电,人工智能硬件,人工智能芯片 / 专用芯片 / 端侧算力,2026-08-11,62.06,-0.01803797468354429,34.636695,53.109599,34.6–53.1,已审计估值区间,中等,明显偏高,第二阶段候选,6,72.85714285714285,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
600584.SH,长电科技,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,77.67,-0.010825267447783893,41.088935,61.633403,41.1–61.6,已审计估值区间,中等,明显偏高,第二阶段候选,6,72.14285714285714,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
002179.SZ,中航光电,人工智能硬件,高速铜缆 / 连接器,2026-08-11,35.18,-0.00901408450704222,28.727256,39.173531,28.7–39.2,低置信度研究区间,较低,合理区间,弱势阶段,2,32.857142857142854,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
06088.HK,鸿腾精密,人工智能硬件,高速铜缆 / 连接器,2026-08-11,5.13,-0.14142259414225933,4.963014,6.767746,4.96–6.77,低置信度研究区间,较低,合理区间,弱势阶段,2,61.42857142857143,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
000063.SZ,中兴通讯,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,34.19,-0.00320699708454808,26.513463,39.770195,26.5–39.8,已审计估值区间,中等,合理区间,弱势阶段,0,40.0,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688668.SH,鼎通科技,人工智能硬件,高速铜缆 / 连接器,2026-08-11,243.97,0.0207949790794979,264.569887,404.636298,265–405,已审计估值区间,中等,合理偏低,第二阶段候选,6,84.28571428571429,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002335.SZ,科华数据,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,31.29,0.00031969309462920315,40.609977,60.914966,40.6–60.9,已审计估值区间,中等,明显低估,弱势阶段,1,42.857142857142854,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688702.SH,盛科通信,人工智能硬件,人工智能网络 / 交换芯片 / 设备,2026-08-11,393.6,-0.02564610357461128,150.0,220.0,150–220,低置信度研究区间,较低,明显偏高,第二阶段确认,8,96.42857142857143,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300570.SZ,太辰光,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,140.45,-0.01084583421367713,102.004728,153.007092,102–153,已审计估值区间,中等,合理区间,整理过渡,4,53.57142857142857,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300054.SZ,鼎龙股份,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,76.52,-0.027082008900190857,42.968527,64.452791,43.0–64.5,已审计估值区间,中等,明显偏高,第二阶段候选,6,81.42857142857143,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
000400.SZ,许继电气,人工智能硬件,液冷 / 电源 / 人工智能电力系统,2026-08-11,22.47,-0.016630196936542774,28.215551,39.188265,28.2–39.2,已审计估值区间,中等,明显低估,弱势阶段,2,39.285714285714285,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002851.SZ,麦格米特,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,119.0,-0.014084507042253502,51.170073,76.755109,51.2–76.8,已审计估值区间,中等,明显偏高,整理过渡,4,68.57142857142857,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
00992.HK,联想集团,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,28.54,-0.01586206896551723,19.512806,28.618782,19.5–28.6,低置信度研究区间,较低,合理区间,第二阶段确认,8,83.57142857142857,形成中,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688183.SH,生益电子,人工智能硬件,人工智能服务器印制电路板 / 覆铜板,2026-08-11,111.08,-0.011039886039886038,102.826396,149.95516,103–150,已审计估值区间,中等,合理区间,整理过渡,5,67.85714285714286,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688981.SH,中芯国际,人工智能硬件,其他人工智能硬件基础设施,2026-08-11,125.41,-0.006653465346534659,110.0,155.0,110–155,低置信度研究区间,较低,合理区间,整理过渡,5,55.714285714285715,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688313.SH,仕佳光子,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,130.5,-0.026192075218267274,83.49228,127.694075,83.5–128,已审计估值区间,中等,偏高观察,整理过渡,5,67.14285714285714,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
300346.SZ,南大光电,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,58.75,-0.010776224953695901,23.251288,34.876932,23.3–34.9,已审计估值区间,中等,明显偏高,整理过渡,5,59.285714285714285,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
300620.SZ,光库科技,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,281.0,-0.012302284710017597,107.211273,160.81691,107–161,低置信度研究区间,较低,明显偏高,第二阶段候选,6,97.85714285714285,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300124.SZ,汇川技术,人工智能硬件,物理人工智能核心硬件,2026-08-11,63.97,-0.005750699409387661,70.136959,105.205438,70.1–105,已审计估值区间,中等,合理偏低,弱势阶段,0,38.57142857142858,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688213.SH,思特威,人工智能硬件,物理人工智能核心硬件,2026-08-11,99.25,0.02956431535269699,115.282073,172.92311,115–173,已审计估值区间,中等,合理偏低,整理过渡,4,41.42857142857143,候选,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300913.SZ,兆龙互连,人工智能硬件,高速铜缆 / 连接器,2026-08-11,35.19,-0.001985252410663607,24.25403,36.381045,24.3–36.4,低置信度研究区间,较低,合理区间,弱势阶段,0,18.571428571428573,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
000021.SZ,深科技,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,39.81,-0.00970149253731345,19.802022,31.683235,19.8–31.7,低置信度研究区间,较低,明显偏高,整理过渡,5,66.42857142857143,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
002130.SZ,沃尔核材,人工智能硬件,高速铜缆 / 连接器,2026-08-11,17.07,-0.009286128845037767,48.215405,73.741207,48.2–73.7,已审计估值区间,中等,明显低估,弱势阶段,0,15.0,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300604.SZ,长川科技,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,281.04,-0.024437656206609204,157.924687,217.146445,158–217,条件估值区间,中等,明显偏高,第二阶段候选,7,98.57142857142858,未形成,弱,条件观察,—,—,估值为条件区间，暂不进入正式买入候选
688676.SH,金盘科技,人工智能硬件,液冷 / 电源 / 人工智能电力系统,2026-08-11,68.79,-0.017285714285714238,66.147231,99.220847,66.1–99.2,已审计估值区间,中等,合理区间,整理过渡,3,60.71428571428571,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300442.SZ,润泽科技,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,67.85,0.0025118203309690834,55.0,75.0,55.0–75.0,低置信度研究区间,较低,合理区间,整理过渡,3,51.42857142857142,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300693.SZ,盛弘股份,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,43.87,0.12921492921492916,51.557945,77.336917,51.6–77.3,已审计估值区间,中等,合理偏低,整理过渡,3,55.00000000000001,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
301200.SZ,大族数控,人工智能硬件,人工智能服务器印制电路板 / 覆铜板,2026-08-11,272.76,-0.011774935690735844,150.812204,226.218306,151–226,已审计估值区间,中等,明显偏高,第二阶段候选,6,92.85714285714286,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
688519.SH,南亚新材,人工智能硬件,人工智能服务器印制电路板 / 覆铜板,2026-08-11,285.0,-0.05946802191274503,108.809482,163.214223,109–163,已审计估值区间,中等,明显偏高,第二阶段候选,6,97.14285714285714,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
300870.SZ,欧陆通,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,205.5,-0.02002861230329034,118.701107,178.05166,119–178,已审计估值区间,中等,明显偏高,整理过渡,5,71.42857142857143,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
688001.SH,华兴源创,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,49.26,-0.0020259319286872746,34.131061,47.996804,34.1–48.0,低置信度研究区间,较低,偏高观察,整理过渡,5,58.57142857142858,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688126.SH,沪硅产业,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,25.58,-0.01120989563200625,18.0,26.0,18.0–26.0,低置信度研究区间,较低,合理区间,整理过渡,5,52.142857142857146,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
301018.SZ,申菱环境,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,91.5,0.023261015432789023,60.335693,90.50354,60.3–90.5,已审计估值区间,中等,偏高观察,第二阶段候选,6,85.71428571428571,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
301308.SZ,江波龙,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,417.5,0.0121212121212122,412.19159,686.985984,412–687,已审计估值区间,中等,合理区间,第二阶段候选,6,95.71428571428572,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300857.SZ,协创数据,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,245.22,-0.027290757635858753,131.830068,219.716781,132–220,已审计估值区间,中等,偏高观察,第二阶段候选,6,93.57142857142857,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
688525.SH,佰维存储,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,242.06,0.0002479338842975576,260.51496,434.191599,261–434,已审计估值区间,中等,合理偏低,整理过渡,5,92.14285714285714,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300563.SZ,神宇股份,人工智能硬件,高速铜缆 / 连接器,2026-08-11,23.55,-0.015468227424749181,19.987346,29.981019,20.0–30.0,低置信度研究区间,较低,合理区间,弱势阶段,0,5.714285714285714,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300738.SZ,奥飞数据,人工智能硬件,智算中心运营 / 数据中心,2026-08-11,22.89,0.002189141856392407,22.0,30.0,22.0–30.0,低置信度研究区间,较低,合理区间,整理过渡,4,42.142857142857146,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
09698.HK,万国数据-SW,人工智能硬件,智算中心运营 / 数据中心,2026-08-11,30.46,-0.0006561679790025865,29.0,40.0,29.0–40.0,低置信度研究区间,较低,合理区间,弱势阶段,1,27.142857142857142,候选,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
00700.HK,腾讯控股,人工智能应用,大模型与平台入口,2026-08-11,470.8,-0.022019110926464358,500.0,630.0,500–630,低置信度研究区间,较低,合理偏低,弱势阶段,1,26.42857142857143,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
09988.HK,阿里巴巴-W,人工智能应用,大模型与平台入口,2026-08-11,126.4,-0.0023677979479084232,115.0,155.0,115–155,低置信度研究区间,较低,合理区间,弱势阶段,2,43.57142857142857,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
09888.HK,百度集团-SW,人工智能应用,大模型与平台入口,2026-08-11,104.6,-0.025163094128611396,100.0,135.0,100–135,低置信度研究区间,较低,合理区间,弱势阶段,1,50.0,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
00020.HK,商汤-W,人工智能应用,大模型与平台入口,2026-08-11,1.425,-0.03716216216216217,1.2,2.0,1.20–2.00,低置信度研究区间,较低,合理区间,弱势阶段,0,30.714285714285715,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
600588.SH,用友网络,人工智能应用,人工智能 智能体／企业智能体,2026-08-11,11.92,0.005059021922428464,11.0,15.0,11.0–15.0,低置信度研究区间,较低,合理区间,弱势阶段,2,25.0,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300170.SZ,汉得信息,人工智能应用,人工智能 智能体／企业智能体,2026-08-11,18.01,0.023295454545454453,12.0,18.0,12.0–18.0,低置信度研究区间,较低,偏高观察,弱势阶段,3,34.285714285714285,候选,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
603039.SH,泛微网络,人工智能应用,人工智能 智能体／企业智能体,2026-08-11,44.73,-0.013671444321940562,35.0,46.0,35.0–46.0,低置信度研究区间,较低,合理区间,整理过渡,3,25.71428571428571,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
301236.SZ,软通动力,人工智能应用,人工智能 智能体／企业智能体,2026-08-11,40.81,-0.0034188034188034067,28.0,38.0,28.0–38.0,低置信度研究区间,较低,偏高观察,弱势阶段,1,14.285714285714285,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688111.SH,金山办公,人工智能应用,人工智能办公与生产力工具,2026-08-11,261.4,-0.004569687738004702,270.0,340.0,270–340,低置信度研究区间,较低,合理偏低,弱势阶段,2,27.857142857142858,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300634.SZ,彩讯股份,人工智能应用,人工智能办公与生产力工具,2026-08-11,21.17,0.04698318496538101,24.0,32.0,24.0–32.0,低置信度研究区间,较低,合理偏低,弱势阶段,1,20.714285714285715,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688095.SH,福昕软件,人工智能应用,人工智能办公与生产力工具,2026-08-11,67.8,-0.0008841732979664174,55.0,75.0,55.0–75.0,低置信度研究区间,较低,合理区间,弱势阶段,2,32.142857142857146,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
